ages,list_price,num_reviews,piece_count,play_star_rating,review_difficulty,star_rating,theme_name,val_star_rating,country
23,19.99,2,241,5,0,5,26,4.5,20
24,19.99,16,208,4.4,2,4.6,26,4.4,20
24,19.99,5,247,5,0,4.6,26,4.8,20
20,14.99,0,84,0,5,0,26,0,20
20,14.99,4,69,5,2,4.3,26,2.7,20
24,79.99,14,571,3.6,2,3.5,26,2.2,20
24,69.99,14,706,4.6,0,4.7,26,4.7,20
24,59.99,6,559,4.8,0,5,26,4.5,20
24,59.99,15,519,4.8,0,4.8,26,4.5,20
24,39.99,3,318,4.5,0,5,26,4.5,20
24,19.99,16,219,3.1,0,3.4,26,3.3,20
15,3.99,14,7,4.5,4,4.6,27,4.3,20
16,39.99,10,169,4.3,4,4.1,6,3.6,20
15,3.99,13,8,4.3,4,4.8,27,4,20
15,3.99,22,8,4.3,4,4.3,27,4.1,20
15,3.99,26,7,4.3,4,4.1,27,3.3,20
29,129.99,5,1426,2,1,2.6,28,1.8,20
26,59.99,3,604,4.3,1,4,28,4,20
26,49.99,0,569,0,5,0,28,0,20
26,39.99,3,506,5,0,5,28,5,20
26,29.99,0,369,0,5,0,28,0,20
23,19.99,1,191,4,2,5,28,3,20
23,19.99,0,217,0,5,0,28,0,20
26,24.99,1,251,5,0,5,28,5,20
23,9.99,2,88,3.5,5,4,28,4,20
23,9.99,1,98,4,5,4,28,4,20
29,99.99,17,1140,4.9,1,4.9,28,4.9,20
